zip,commune,province,rank
8501,KORTRIJK,Flandre-Occidentale,352.0
1325,CHAUMONT-GISTOUX,Brabant Wallon,563.0
3190,BOORTMEERBEEK,Brabant Flamand,484.0
4300,WAREMME,Liège,117.0
4750,BUTGENBACH,Liège,398.0
4317,FAIMES,Liège,346.0
5650,WALCOURT,Namur,31.0
4180,HAMOIR,Liège,91.0
5020,NAMUR,Namur,258.0
4590,OUFFET,Liège,342.0
8906,IEPER,Flandre-Occidentale,265.0
6220,FLEURUS,Hainaut,35.0
5504,DINANT,Namur,138.0
5380,FERNELMONT,Namur,470.0
7040,QUÉVY,Hainaut,74.0
9500,GERAARDSBERGEN,Flandre-Orientale,210.0
4000,LIÈGE,Liège,83.0
7100,LA LOUVIÈRE,Hainaut,37.0
6922,WELLIN,Luxembourg,303.0
9310,AALST,Flandre-Orientale,227.0
8020,OOSTKAMP,Flandre-Occidentale,482.0
3640,KINROOI,Limbourg,185.0
8300,KNOKKE-HEIST,Flandre-Occidentale,570.0
4560,CLAVIER,Liège,120.0
6953,NASSOGNE,Luxembourg,102.0
4987,STOUMONT,Liège,475.0
1360,PERWEZ,Brabant Wallon,383.0
5530,YVOIR,Namur,283.0
3511,HASSELT,Limbourg,411.0
9860,OOSTERZELE,Flandre-Orientale,445.0
8920,LANGEMARK-POELKAPELLE,Flandre-Occidentale,171.0
3700,TONGEREN,Limbourg,201.0
9400,NINOVE,Flandre-Orientale,267.0
9820,MERELBEKE,Flandre-Orientale,464.0
9992,MALDEGEM,Flandre-Orientale,312.0
3891,GINGELOM,Limbourg,146.0
4607,DALHEM,Liège,377.0
6660,HOUFFALIZE,Luxembourg,47.0
5100,NAMUR,Namur,258.0
1910,KAMPENHOUT,Brabant Flamand,556.0
7862,LESSINES,Hainaut,112.0
4540,AMAY,Liège,27.0
9968,ASSENEDE,Flandre-Orientale,324.0
3350,LINTER,Brabant Flamand,261.0
1340,OTTIGNIES-LOUVAIN-LA-NEUVE,Brabant Wallon,523.0
7640,ANTOING,Hainaut,7.0
4350,REMICOURT,Liège,175.0
6927,TELLIN,Luxembourg,87.0
1640,RHODE-SAINT-GENÈSE,Brabant Flamand,573.0
7500,TOURNAI,Hainaut,281.0
9688,MAARKEDAL,Flandre-Orientale,505.0
9890,GAVERE,Flandre-Orientale,452.0
8710,WIELSBEKE,Flandre-Occidentale,225.0
9520,SINT-LIEVENS-HOUTEM,Flandre-Orientale,356.0
3650,DILSEN-STOKKEM,Limbourg,189.0
6813,CHINY,Luxembourg,130.0
6680,SAINTE-ODE,Luxembourg,65.0
6767,ROUVROY,Luxembourg,45.0
4980,TROIS-PONTS,Liège,360.0
8210,ZEDELGEM,Flandre-Occidentale,414.0
7120,ESTINNES,Hainaut,64.0
3870,HEERS,Limbourg,157.0
4530,VILLERS-LE-BOUILLET,Liège,165.0
1460,ITTRE,Brabant Wallon,474.0
3770,RIEMST,Limbourg,294.0
3401,LANDEN,Brabant Flamand,73.0
1741,TERNAT,Brabant Flamand,492.0
9988,SINT-LAUREINS,Flandre-Orientale,221.0
1300,WAVRE,Brabant Wallon,493.0
2235,HULSHOUT,Anvers,460.0
2980,ZOERSEL,Anvers,531.0
4770,AMBLÈVE,Liège,8.0
6150,ANDERLUES,Hainaut,32.0
4821,DISON,Liège,21.0
5537,ANHÉE,Namur,86.0
9404,NINOVE,Flandre-Orientale,267.0
4880,AUBEL,Liège,481.0
1160,AUDERGHEM,Bruxelles (19 communes),545.0
7331,SAINT-GHISLAIN,Hainaut,36.0
1401,NIVELLES,Brabant Wallon,284.0
3580,BERINGEN,Limbourg,193.0
4831,LIMBOURG,Liège,6.0
1367,RAMILLIES,Brabant Wallon,380.0
8450,BREDENE,Flandre-Occidentale,114.0
3380,GLABBEEK,Brabant Flamand,478.0
4367,CRISNÉE,Liège,162.0
9630,ZWALM,Flandre-Orientale,421.0
8480,ICHTEGEM,Flandre-Occidentale,229.0
9420,ERPE-MERE,Flandre-Orientale,289.0
4950,WAIMES,Liège,371.0
4190,FERRIÈRES,Liège,159.0
5620,FLORENNES,Namur,76.0
9090,MELLE,Flandre-Orientale,504.0
6782,MESSANCY,Luxembourg,427.0
5351,OHEY,Namur,223.0
8551,ZWEVEGEM,Flandre-Occidentale,158.0
2801,MECHELEN,Anvers,479.0
4480,ENGIS,Liège,23.0
2880,BORNEM,Anvers,443.0
3390,TIELT-WINGE,Brabant Flamand,354.0
1654,BEERSEL,Brabant Flamand,490.0
8340,DAMME,Flandre-Occidentale,542.0
9340,LEDE,Flandre-Orientale,275.0
3061,BERTEM,Brabant Flamand,515.0
1750,LENNIK,Brabant Flamand,554.0
9930,LIEVEGEM,Flandre-Orientale,408.0
3545,HALEN,Limbourg,199.0
5310,EGHEZÉE,Namur,336.0
7700,MOUSCRON,Hainaut,172.0
6810,CHINY,Luxembourg,130.0
2430,LAAKDAL,Anvers,305.0
9280,LEBBEKE,Flandre-Orientale,393.0
2890,PUURS-SINT-AMANDS,Anvers,389.0
6042,CHARLEROI,Hainaut,19.0
8570,ANZEGEM,Flandre-Occidentale,330.0
3460,BEKKEVOORT,Brabant Flamand,224.0
5580,ROCHEFORT,Namur,113.0
9690,KLUISBERGEN,Flandre-Orientale,358.0
